FIPS,county,state,population,kids_population,households,households_with_kids,households_no_kids,median_income,housing_units,median_home_value,real_estate_taxes_paid,median_real_estate_taxes,tax_per_housing_unit,prop_houses_with_kids
16051,"Jefferson County, Idaho",Idaho,27096,9467,8150,3692,4458,54646,8895,160300,7808100,1080,877.8077571669477,45.30061349693252
16053,"Jerome County, Idaho",Idaho,22694,7028,7647,3013,4634,44447,8233,139700,5629600,1073,683.7847686141139,39.401072315940894
16055,"Kootenai County, Idaho",Idaho,147716,34903,57213,17883,39330,50924,66126,193300,67525600,1326,1021.1656534494753,31.256882177127576
16057,"Latah County, Idaho",Idaho,38593,7163,15218,3657,11561,42133,16331,195800,14647800,1634,896.9322148061968,24.03075305559206
16059,"Lemhi County, Idaho",Idaho,7743,1367,3698,623,3075,34762,4748,178300,2518900,794,530.5181128896378,16.84694429421309
16061,"Lewis County, Idaho",Idaho,3826,857,1624,381,1243,38068,1869,116400,1354900,962,724.9331193151418,23.460591133004925
16063,"Lincoln County, Idaho",Idaho,5292,1660,1596,595,1001,44500,1956,128900,1111100,855,568.0470347648262,37.280701754385966
16065,"Madison County, Idaho",Idaho,38114,10382,10508,3849,6659,33856,12778,185200,7594700,1295,594.3574894349664,36.62923486867149
16067,"Minidoka County, Idaho",Idaho,20331,5823,7261,2696,4565,46147,7776,117400,4694500,760,603.7165637860082,37.12987191846853
16069,"Nez Perce County, Idaho",Idaho,39995,8537,16127,4495,11632,49541,17420,169500,18963500,1551,1088.605051664753,27.872511936504
16071,"Oneida County, Idaho",Idaho,4269,1188,1551,474,1077,40564,1945,142700,1382e3,1084,710.5398457583548,30.56092843326886
16073,"Owyhee County, Idaho",Idaho,11356,3046,4068,1224,2844,34785,4763,120500,2436600,728,511.56833928196517,30.08849557522124
16075,"Payette County, Idaho",Idaho,22773,6115,8195,2611,5584,45670,9058,136400,6991200,984,771.8260101567676,31.860890787065284
16077,"Power County, Idaho",Idaho,7696,2400,2465,951,1514,46318,2942,125100,2105500,1159,715.6696125084976,38.580121703853955
16079,"Shoshone County, Idaho",Idaho,12551,2489,5660,1142,4518,37449,6991,117600,3947300,966,564.6259476469747,20.176678445229683
16081,"Teton County, Idaho",Idaho,10437,2931,3725,1505,2220,58173,5512,254600,3718e3,1392,674.5283018867924,40.40268456375839
16083,"Twin Falls County, Idaho",Idaho,80955,22372,29200,10545,18655,45500,31792,149100,28432700,1226,894.3350528434827,36.113013698630134
16085,"Valley County, Idaho",Idaho,9897,1813,3446,744,2702,53630,11920,246300,5062100,1243,424.6728187919463,21.59024956471271
16087,"Washington County, Idaho",Idaho,10035,2388,3886,1083,2803,37525,4543,140600,3194200,970,703.1036759850319,27.869274318064846
32001,"Churchill County, Nevada",Nevada,24148,5619,9491,2630,6861,45368,10683,157800,7314400,1244,684.6765889731349,27.710462543462228
32003,"Clark County, Nevada",Nevada,2070153,493981,735475,239715,495760,52629,864164,186700,686835300,1489,794.7973995676747,32.59322206737142
32005,"Douglas County, Nevada",Nevada,47426,8643,19928,4501,15427,59769,23810,282500,31043600,1896,1303.805123897522,22.586310718586912
32007,"Elko County, Nevada",Nevada,52029,14531,17618,6618,11e3,74672,20425,197500,15381500,1141,753.0722154222766,37.563855148143944
32009,"Esmeralda County, Nevada",Nevada,1069,212,454,97,357,43125,969,77900,217700,489,224.66460268317854,21.365638766519822
32011,"Eureka County, Nevada",Nevada,1730,350,766,203,563,7e4,1146,93800,271400,438,236.82373472949388,26.50130548302872
32013,"Humboldt County, Nevada",Nevada,17091,4798,6174,2190,3984,67295,7223,165100,5144900,1024,712.2940606396235,35.47133138969873
32015,"Lander County, Nevada",Nevada,5907,1689,2102,784,1318,78077,2505,128200,1751600,1081,699.2415169660678,37.29781160799239
32017,"Lincoln County, Nevada",Nevada,5155,1055,1835,584,1251,49406,2581,130700,1957700,1164,758.5044556373499,31.82561307901907
32019,"Lyon County, Nevada",Nevada,51897,11662,19586,6001,13585,49007,22427,143200,17820900,1206,794.6180942613813,30.639232104564485
32021,"Mineral County, Nevada",Nevada,4519,828,2065,450,1615,37750,2775,85200,1062100,857,382.73873873873873,21.791767554479417
32023,"Nye County, Nevada",Nevada,43198,7616,17464,3724,13740,42266,21786,109100,12762500,1002,585.8119893509594,21.323866239120477
32027,"Pershing County, Nevada",Nevada,6690,1165,2016,688,1328,45192,2403,105100,1607100,1096,668.789013732834,34.12698412698413
32029,"Storey County, Nevada",Nevada,3941,533,1752,340,1412,65508,2001,192700,2333200,1461,1166.016991504248,19.406392694063925
32031,"Washoe County, Nevada",Nevada,439914,98592,169015,51221,117794,54955,187716,236900,209568500,1751,1116.4125593982399,30.305594178031537
32033,"White Pine County, Nevada",Nevada,9893,2096,3158,824,2334,58156,4444,127100,2069100,707,465.5940594059406,26.092463584547183
32510,"Carson City, Nevada",Nevada,54412,11262,21802,6031,15771,47948,23459,199500,19289700,1401,822.2729016582122,27.66259976148977
49001,"Beaver County, Utah",Utah,6437,2077,2261,931,1330,48083,2942,146900,1268100,742,431.03331067301156,41.17647058823529
49003,"Box Elder County, Utah",Utah,51528,16893,16655,6992,9663,55514,18097,169200,15709200,1193,868.0554788086423,41.98138697087961
49005,"Cache County, Utah",Utah,118824,36890,36093,14630,21463,51935,39192,197700,29891400,1200,762.6913655848132,40.53417560191727
49007,"Carbon County, Utah",Utah,20733,5532,7744,2548,5196,47793,9605,126800,4996400,799,520.1874023945861,32.90289256198347
49009,"Daggett County, Utah",Utah,751,148,217,57,160,75938,1170,206700,220400,913,188.3760683760684,26.26728110599078
49011,"Davis County, Utah",Utah,329292,109715,99495,47195,52300,72661,103370,234300,135450100,1657,1310.3424591274063,47.434544449469826
49013,"Duchesne County, Utah",Utah,20078,6911,6573,2859,3714,61244,9794,174900,6215500,1185,634.6232387175822,43.496120492925606
49015,"Emery County, Utah",Utah,10570,3362,3514,1286,2228,51276,4500,135100,2613800,831,580.8444444444444,36.59647125782584
49017,"Garfield County, Utah",Utah,5020,1284,1654,429,1225,45221,3804,159100,1073200,763,282.12407991587804,25.937122128174124
49019,"Grand County, Utah",Utah,9428,2118,3820,1098,2722,43529,5063,223900,2983500,1044,589.2751333201659,28.743455497382197
49021,"Iron County, Utah",Utah,47751,13951,15210,5658,9552,43799,20111,172100,12078200,1116,600.576798766844,37.19921104536489
49023,"Juab County, Utah",Utah,10507,3709,3155,1467,1688,54861,3573,169900,2798600,1157,783.2633641197873,46.497622820919176
49025,"Kane County, Utah",Utah,7216,1684,2592,597,1995,50517,5867,187300,2593300,1183,442.01465825805354,23.03240740740741
49027,"Millard County, Utah",Utah,12604,3964,4163,1614,2549,53902,4933,142700,2918400,839,591.607541050071,38.770117703579146
49029,"Morgan County, Utah",Utah,10645,3846,3079,1516,1563,80865,3294,283400,5293800,1718,1607.103825136612,49.236765183501134
49031,"Piute County, Utah",Utah,1859,439,545,152,393,37112,935,136300,383500,763,410.16042780748666,27.889908256880737
49033,"Rich County, Utah",Utah,2284,753,625,245,380,52569,2894,169800,401500,746,138.73531444367657,39.2
49035,"Salt Lake County, Utah",Utah,1092518,309506,356061,141070,214991,64601,376956,243700,480380600,1784,1274.3678307282548,39.61961573999961
49037,"San Juan County, Utah",Utah,15540,5093,3950,1491,2459,41108,5828,137600,2563e3,1233,439.7735072065889,37.74683544303797
49039,"Sanpete County, Utah",Utah,28551,7826,8082,3204,4878,48866,10514,164700,6698e3,1062,637.0553547650751,39.643652561247215
49041,"Sevier County, Utah",Utah,20913,6364,7121,2696,4425,48872,8525,149200,5259400,889,616.9384164222874,37.85985114450218
49043,"Summit County, Utah",Utah,39009,10238,14542,5526,9016,91470,27183,515500,31955200,2297,1175.5582533200898,38.00027506532801
49045,"Tooele County, Utah",Utah,61986,21312,19066,9625,9441,64149,20425,182300,20010100,1277,979.686658506732,50.482534354348054
49047,"Uintah County, Utah",Utah,36308,12315,10722,4638,6084,67943,13045,190900,9179600,1110,703.6872364890763,43.256855064353665
49049,"Utah County, Utah",Utah,564177,196036,151342,76570,74772,64321,158690,239300,162996e3,1411,1027.1346650702628,50.594018844735764
49051,"Wasatch County, Utah",Utah,27895,9155,8693,4138,4555,71337,11710,336100,13429400,1853,1146.8317677198975,47.60151846313126
49053,"Washington County, Utah",Utah,151959,42891,50256,17460,32796,52865,62393,221700,53746e3,1364,861.4107351786258,34.742120343839545
49055,"Wayne County, Utah",Utah,2716,755,978,306,672,41684,1618,195900,712800,820,440.54388133498145,31.28834355828221
49057,"Weber County, Utah",Utah,241328,70429,80159,31721,48438,59660,88016,171200,88333300,1396,1003.6050263588438,39.57259945857608
